,duration,protocolType,srcBytes,dstBytes,srvCount,dst_host_same_src_port_rate
0,0,tcp,0,0,10,0.0
1,0,tcp,0,0,1,0.0
2,2,tcp,12983,0,1,0.61
3,0,icmp,20,0,65,1.0
4,1,tcp,0,15,8,0.03
5,0,tcp,267,14515,4,0.01
6,0,tcp,1022,387,3,0.0
7,0,tcp,129,174,1,0.0
8,0,tcp,327,467,47,0.01
9,0,tcp,26,157,1,0.02
10,0,tcp,0,0,1,0.0
11,0,tcp,616,330,2,0.0
12,0,tcp,0,0,2,0.0
13,0,tcp,0,0,120,0.0
14,37,tcp,773,364200,1,0.03
15,0,tcp,350,3610,8,0.01
16,0,tcp,213,659,24,0.0
17,0,tcp,246,2090,16,0.03
18,0,udp,45,44,505,1.0
19,0,tcp,0,0,18,0.0
20,0,tcp,0,0,19,0.0
21,0,tcp,0,0,1,0.01
22,0,tcp,196,1823,17,0.0
23,0,tcp,277,1816,18,0.03
24,0,tcp,0,0,8,0.0
25,0,tcp,0,0,13,0.0
26,0,tcp,294,6442,46,0.01
27,0,tcp,300,440,7,0.0
28,0,icmp,520,0,511,1.0
29,0,udp,54,51,511,0.83
30,805,tcp,76944,1,12,0.0
31,0,tcp,720,281,2,0.01
32,0,tcp,301,19794,15,0.05
33,0,udp,1,1,3,0.99
34,0,tcp,0,0,1,0.0
35,0,tcp,0,44,2,0.01
36,0,tcp,209,12894,11,0.0
37,8,tcp,220,688,1,0.02
38,0,udp,43,71,113,0.0
39,0,tcp,88382,0,15,0.38
40,0,tcp,0,0,8,0.0
41,0,tcp,277,4968,13,0.08
42,0,tcp,321,2715,37,0.03
43,0,tcp,335,3228,50,0.0
44,0,tcp,0,0,8,0.0
45,0,tcp,234,3236,21,0.0
46,0,tcp,0,0,6,0.0
47,0,tcp,54540,8314,24,0.0
48,0,tcp,0,0,12,0.01
49,0,udp,46,45,68,0.26
50,0,tcp,318,488,16,0.33
51,0,tcp,256,4926,41,0.0
52,0,tcp,0,0,7,0.0
53,0,tcp,0,0,3,0.0
54,282,tcp,160,599,1,0.0
55,0,tcp,229,509,1,0.05
56,0,tcp,0,0,8,0.0
57,0,udp,105,146,2,0.11
58,7428,tcp,0,44,1,0.0
59,0,tcp,282,396,8,0.0
60,4,tcp,28,93,1,0.0
61,280,tcp,283618,0,2,0.86
62,0,tcp,233,2239,3,0.0
63,0,tcp,257,8712,20,0.0
64,0,tcp,0,0,1,0.0
65,0,tcp,214,645,30,0.0
66,0,tcp,0,0,6,0.01
67,0,tcp,0,0,13,0.0
68,0,tcp,0,0,1,0.0
69,0,tcp,203,651,19,0.0
70,0,tcp,0,0,14,0.0
71,0,tcp,0,83,2,0.02
72,0,tcp,307,484,2,0.1
73,0,tcp,320,1667,30,0.01
74,0,tcp,0,0,3,0.0
75,0,tcp,215,430,1,0.03
76,0,tcp,358,3691,11,0.01
77,8092,tcp,0,15,1,0.0
78,0,tcp,270,1332,2,0.14
79,0,tcp,337,283,29,0.0
80,0,tcp,0,0,19,0.0
81,0,tcp,0,0,6,0.0
82,0,icmp,1480,0,1,1.0
83,0,tcp,219,1310,4,0.25
84,0,tcp,258,1012,26,0.0
85,0,tcp,324,1093,8,0.01
86,0,tcp,0,0,19,0.0
87,0,tcp,0,36,7,0.01
88,0,tcp,236,10503,3,0.0
89,0,tcp,1699,0,1,0.19
90,0,tcp,327,910,15,0.07
91,0,tcp,303,2789,8,0.0
92,0,tcp,0,0,4,0.0
93,0,tcp,0,0,1,0.0
94,3,tcp,28,93,1,0.0
95,0,tcp,0,83,1,0.01
96,0,tcp,282,4532,6,0.01
97,0,udp,44,113,5,0.0
98,0,tcp,0,0,1,1.0
99,0,tcp,0,0,7,0.0
100,0,tcp,0,0,1,0.0
101,0,tcp,26,157,1,0.01
102,0,tcp,0,0,6,0.0
103,0,tcp,0,0,15,0.0
104,1,tcp,995,330,1,0.02
105,0,tcp,0,0,12,0.0
106,31,tcp,197,1608,1,0.0
107,0,tcp,197,1830,2,0.04
108,0,tcp,0,0,10,0.0
109,0,tcp,230,843,25,0.04
110,0,tcp,161,14086,1,0.01
111,0,tcp,0,0,15,0.0
112,8080,tcp,0,15,1,0.0
113,8124,tcp,0,15,1,0.0
114,0,tcp,224,278,5,0.0
115,0,tcp,0,0,20,0.0
116,0,tcp,321,372,17,0.0
117,0,icmp,1032,0,173,1.0
118,0,tcp,0,0,17,0.0
119,0,udp,48,0,5,0.0
120,0,tcp,303,289,11,0.03
121,0,icmp,508,0,511,0.75
122,0,tcp,0,0,1,1.0
123,0,tcp,0,0,12,0.0
124,0,tcp,8,447,2,0.01
125,0,udp,43,78,207,0.01
126,0,tcp,124,174,2,0.0
127,0,tcp,0,0,2,0.0
128,0,tcp,257,633,4,0.01
129,0,udp,42,42,12,0.0
130,0,udp,42,42,19,0.01
131,0,tcp,219,5881,49,1.0
132,0,tcp,0,44,1,0.0
133,0,tcp,260,4027,11,0.01
134,7554,tcp,0,44,1,0.0
135,0,tcp,357,247,3,0.01
136,0,tcp,0,0,19,0.0
137,0,udp,43,0,1,0.0
138,0,tcp,0,44,3,0.01
139,0,tcp,218,287,15,0.0
140,0,tcp,290,2267,5,0.09
141,0,udp,42,42,5,0.0
142,0,tcp,0,0,5,0.0
143,0,tcp,0,0,7,0.0
144,2079,tcp,72564,0,11,0.0
145,0,icmp,8,0,14,1.0
146,0,tcp,0,0,9,0.01
147,0,tcp,0,0,5,0.0
148,0,tcp,244,8745,4,0.0
149,7466,tcp,0,44,1,0.0
150,0,tcp,124,188,1,0.0
151,0,tcp,0,0,8,0.0
152,0,icmp,1480,0,3,0.01
153,1,tcp,2599,293,3,0.0
154,0,tcp,226,651,21,0.01
155,0,tcp,0,0,11,0.0
156,8169,tcp,0,15,1,0.0
157,0,tcp,0,0,18,0.0
158,0,tcp,0,0,19,0.0
159,0,tcp,0,0,14,0.0
160,0,tcp,0,0,3,0.0
161,0,tcp,0,0,20,0.0
162,0,tcp,0,0,1,0.0
163,0,tcp,0,0,1,0.0
164,282,tcp,162,601,1,0.0
165,0,tcp,0,0,9,0.0
166,0,tcp,0,0,7,0.0
167,281,tcp,158,595,1,0.0
168,0,tcp,313,8558,19,0.01
169,0,tcp,0,0,5,0.0
170,7526,tcp,0,44,1,0.0
171,0,tcp,285,26746,3,0.01
172,0,tcp,0,0,2,0.0
